Station,County,Line,London_Terminus,Operator,Drive_Time_Horsham_Minutes,Drive_Time_Hertford_Minutes,Latitude,Longitude,Train_Times_To_Terminals,Min_Train_Time_Minutes
Winchfield,Hampshire,South Western Main Line (SWR),Waterloo,,69,82,51.2845836,-0.9017638000000001,Waterloo:53,53
Winnersh,Berkshire,Reading via Ascot (SWR),Waterloo,,73,72,51.428089,-0.879365,Waterloo:80,80
Winnersh Triangle,Berkshire,Reading via Ascot (SWR),Waterloo,,70,69,51.4368114,-0.8914133,Waterloo:82,82
Witham,Essex,Greater Anglia,Liverpool Street,,92,52,51.8060286,0.6393675,Liverpool Street:48,48
Witley,Surrey,Portsmouth Direct (SWR),Waterloo,,38,85,51.149517,-0.646547,Waterloo:82,82
Wivelsfield,East Sussex,Brighton Main Line (Southern),Victoria / London Bridge,,26,105,50.964293,-0.1209313,"Victoria:63, London Bridge:53",53
Woking,Surrey,South Western Main Line (SWR),Waterloo,,51,73,51.3179972,-0.557175,Waterloo:30,30
Wokingham,Berkshire,GWR / SWR,Paddington / Waterloo,,69,73,51.4118814,-0.8427482,"Paddington:51, Waterloo:83",51
Woldingham,Surrey,Oxted Line (Southern),Victoria / London Bridge,,36,80,51.28348070000001,-0.0351973,"Victoria:33, London Bridge:33",33
Wool,Dorset,South Western Main Line (SWR),Waterloo,,142,174,50.6815912,-2.2212775,Waterloo:343,343
Worthing,West Sussex,West Coastway (Southern),Victoria,,30,128,50.81840039999999,-0.3760343,Victoria:86,86
Wraysbury,Berkshire,Windsor Line (SWR),Waterloo,,51,56,51.454957,-0.55494,Waterloo:53,53
Wye,Kent,Tonbridge Line (Southeastern),Charing Cross / London Bridge,,80,98,51.1850349,0.9293729000000001,"Charing Cross:99, London Bridge:87",87
